,movie_id,title,release_date,genre_ids,vote_avg,vote_count,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
350,454293,Night School,2018-09-28,Comedy,6.0,922,103105878,77339130,25766748,75.0,25.0
351,454312,Tyrel,2018-12-05,Comedy,6.2,9,21456,21456,0,100.0,0.0
352,454619,Overboard,2018-05-04,Comedy,6.3,640,91244913,50316123,40928790,55.1,44.9
353,454652,Colette,2018-09-21,Drama,7.1,417,14273033,5137622,9135411,36.0,64.0
354,454904,Straight Into a Storm,2018-06-15,Documentary,0.0,0,2684,2684,0,100.0,0.0
355,454992,The Spy Who Dumped Me,2018-08-03,Action,6.4,1199,75320680,33562069,41758611,44.6,55.4
356,455108,The Little Stranger,2018-08-31,Drama,5.6,100,1824902,713143,1111759,39.1,60.9
357,455207,Crazy Rich Asians,2018-08-15,Comedy,7.0,1814,238532921,174532921,64000000,73.2,26.8
358,455401,Keep the Change,2018-03-16,Comedy,7.1,7,202788,202788,0,100.0,0.0
359,455980,Tag,2018-06-15,Comedy,6.7,1523,78130625,54730625,23400000,70.1,29.9
364,456086,Support the Girls,2018-08-24,Drama,6.2,68,139550,129124,10426,92.5,7.5
365,457136,Mary Queen of Scots,2018-12-07,Drama,6.6,831,46672564,16468499,30204065,35.3,64.7
366,457243,The Long Dumb Road,2018-11-09,Comedy,5.7,27,4667,4667,0,100.0,0.0
367,457308,Heartbeats,2018-03-20,Music,7.0,79,67415,67415,0,100.0,0.0
368,457775,The Devil and Father Amorth,2018-04-20,Documentary,5.4,52,20449,20449,0,100.0,0.0
369,457955,The Night Eats the World,2018-07-13,Drama,5.8,209,95208,0,95208,0.0,100.0
370,458080,Filmworker,2018-05-11,Documentary,7.3,27,112828,102609,10219,90.9,9.1
371,458203,Apocalypsis,2018-03-17,,7.5,3,20052,20052,0,100.0,0.0
372,458252,Tall Tales from the Magical Garden of Antoon Krings,2018-01-31,Animation,5.6,17,12353849,220,12353629,0.0,100.0
373,458344,"Juliet, Naked",2018-08-17,Comedy,6.5,187,4508260,3444895,1063365,76.4,23.6
374,458423,Mamma Mia! Here We Go Again,2018-07-20,Comedy,7.2,1945,395044706,120634935,274409771,30.5,69.5
375,458594,Peppermint,2018-09-07,Action,6.5,925,53918723,35418723,18500000,65.7,34.3
376,458737,First Reformed,2018-05-18,Drama,7.0,553,3862498,3448256,414242,89.3,10.7
377,458823,Acorn and the Firestorm,2018-04-06,History,5.0,1,2621,2621,0,100.0,0.0
378,460019,Truth or Dare,2018-04-13,Thriller,6.0,2287,95330493,41411015,53919478,43.4,56.6
379,460048,Heavy Trip,2018-10-05,Comedy,7.2,56,22460,10153,12307,45.2,54.8
380,460071,Lizzie,2018-09-14,Crime,5.9,81,844786,642157,202629,76.0,24.0
381,460555,Operation Red Sea,2018-02-23,Action,6.6,68,579220560,1543547,577677013,0.3,99.7
382,460668,I Feel Pretty,2018-04-20,Comedy,6.4,1259,94539426,48795601,45743825,51.6,48.4
383,460885,Mandy,2018-09-13,Action,6.2,760,1335484,1214525,120959,90.9,9.1
384,461649,Pari,2018-03-02,Horror,6.6,21,57076286,36276286,20800000,63.6,36.4
388,461844,Liyana,2018-10-10,Animation,0.0,2,44045,44045,0,100.0,0.0
389,461928,Anna and the Apocalypse,2018-11-30,Comedy,6.4,88,670430,545597,124833,81.4,18.6
