movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
363088,"Ant-Man and the Wasp",2018-07-06,28,30.011,7,7337,11,"Ant-Man and the Wasp",622674139,216648740,406025399,34.8,65.2
367153,"Poor Boy",2018-07-13,18,2.668,5,3,738,"Poor Boy",31031,31031,0,100,0
369523,"The Tale",2018-01-20,18,12.327,7.3,204,545,"Heading Home: The Tale of Team Israel",207533,207533,0,100,0
369972,"First Man",2018-10-12,18,21.741,7.1,2869,59,"First Man",105697415,44936545,60760870,42.5,57.5
370567,"Sherlock Gnomes",2018-03-23,16,15.878,5.5,395,73,"Sherlock Gnomes",90345871,43242871,47103000,47.9,52.1
370756,"Always at The Carlyle",2018-05-11,99,3.241,7,3,563,"Always at The Carlyle",174251,174251,0,100,0
371608,"The Strangers: Prey at Night",2018-03-09,27,15.817,5.4,738,135,"The Strangers: Prey at Night",31039126,24586708,6452418,79.2,20.8
373209,"Izzy Gets the F*ck Across Town",2018-06-22,35,4.381,6.1,24,776,"Izzy Gets the F*ck Across Town",20208,20208,0,100,0
373449,2.0,2018-11-29,28,6.003,6.1,49,211,2.0,10847903,4152000,6695903,38.3,61.7
375262,"The Favourite",2018-11-23,18,24.44,7.6,2657,65,"The Favourite",95918706,34366783,61551923,35.8,64.2
375588,"Robin Hood",2018-11-21,28,28.492,5.8,1585,76,"Robin Hood",85882380,30824628,55057752,35.9,64.1
378631,"Like Me",2018-01-25,80,2.408,5.9,21,813,"Like Me",12965,12965,0,100,0
381719,"Peter Rabbit",2018-02-09,12,13.801,6.5,741,28,"Peter Rabbit",351266433,115253424,236013009,32.8,67.2
383498,"Deadpool 2",2018-05-10,28,37.399,7.5,9966,9,"Deadpool 2",734546611,318491426,416055185,43.4,56.6
383498,"Deadpool 2",2018-05-10,28,37.399,7.5,9966,104,"Once Upon a Deadpool 2018 Re-release",50500309,6100309,44400000,12.1,87.9
385360,"Billionaire Boys Club",2018-08-03,18,9.408,5.5,173,300,"Billionaire Boys Club",2713955,1349,2712606,0,100
385448,"The Little Mermaid",2018-08-17,12,15.077,4.9,561,302,"The Little Mermaid",2610742,147175,2463567,5.6,94.4
385955,"Where Is Kyra?",2018-04-06,18,5.163,5.8,25,680,"Where Is Kyra?",59717,59717,0,100,0
387592,"Early Man",2018-02-16,12,11.304,6,378,99,"Early Man",54622814,8267544,46355270,15.1,84.9
391714,"On Chesil Beach",2018-05-18,18,6.988,6.1,122,286,"On Chesil Beach",3335913,745971,2589942,22.4,77.6
393425,Intersection,2018-06-15,80,1.54,0,1,859,Intersection,5116,5116,0,100,0
393834,Goldstone,2018-03-02,80,6.564,6,50,642,"Goldstone 2018 Re-release",87639,87639,0,100,0
394741,"Stan & Ollie",2018-12-28,35,13.704,7.1,433,146,"Stan & Ollie",24420923,5470235,18950688,22.4,77.6
395948,"Are We Not Cats",2018-02-23,27,1.255,6.5,7,856,"Are We Not Cats",5518,5518,0,100,0
395990,"Death Wish",2018-03-02,28,21.151,5.9,1364,105,"Death Wish",49562710,34017028,15545682,68.6,31.4
396373,"Woman Walks Ahead",2018-04-25,18,7.155,6.9,64,648,"Woman Walks Ahead",80912,57528,23384,71.1,28.9
396461,"Under the Silver Lake",2019-04-19,18,11.928,6.4,473,326,"Under the Silver Lake",2053469,46083,2007386,2.2,97.8
397722,Thoroughbreds,2018-03-09,18,10.608,6.3,459,292,Thoroughbreds,3187255,3072605,114650,96.4,3.6
398173,"The House That Jack Built",2018-11-28,18,14.758,7.2,1006,288,"The House That Jack Built",3297010,170113,3126897,5.2,94.8
398173,"The House That Jack Built",2018-11-28,18,14.758,7.2,1006,314,"The House That Jack Built 2018 Re-release",2268855,87993,2180862,3.9,96.1
399174,"Isle of Dogs",2018-03-23,12,16.813,7.9,2343,96,"Isle of Dogs",64241499,32015231,32226268,49.8,50.2
399248,Beirut,2018-04-11,28,12.418,6.2,238,235,Beirut,7509436,5019226,2490210,66.8,33.2
399360,Alpha,2018-08-17,12,15.581,6,1339,62,Alpha,98203196,35857181,62346015,36.5,63.5
399402,"Hunter Killer",2018-10-26,28,23.867,6.4,860,132,"Hunter Killer",31672678,15767460,15905218,49.8,50.2
399440,Peterloo,2019-04-05,18,4.176,7.4,45,329,Peterloo,1998945,151971,1846974,7.6,92.4
399796,"Life of the Party",2018-05-11,35,11.709,6.2,528,94,"Life of the Party",65859911,53059911,12800000,80.6,19.4
400155,"Hotel Transylvania 3: Summer Vacation",2018-06-30,16,20.283,6.8,1940,17,"Hotel Transylvania 3: Summer Vacation",528583774,167510016,361073758,31.7,68.3
400535,"Sicario: Day of the Soldado",2018-06-29,28,20.889,6.7,1556,84,"Sicario: Day of the Soldado",75836683,50072235,25764448,66,34
400579,Tully,2018-05-04,35,13.118,6.9,732,181,Tully,15636462,9369755,6266707,59.9,40.1
400650,"Mary Poppins Returns",2018-12-19,35,22.678,6.6,1867,29,"Mary Poppins Returns",349537494,171958438,177579056,49.2,50.8
401469,Widows,2018-11-16,80,19.914,6.5,1211,83,Widows,75984700,42402632,33582068,55.8,44.2
401847,"Can You Ever Forgive Me?",2018-10-19,35,14.64,6.8,635,197,"Can You Ever Forgive Me?",12442161,8803865,3638296,70.8,29.2
401981,"Red Sparrow",2018-03-02,9648,25.536,6.5,3766,49,"Red Sparrow",151572634,46874505,104698129,30.9,69.1
402900,"Ocean's Eight",2018-06-08,28,21.236,6.9,4330,33,"Ocean's Eight",297718711,140218711,157500000,47.1,52.9
404368,"Ralph Breaks the Internet",2018-11-21,12,32.646,7.2,3475,16,"Ralph Breaks the Internet",529323962,201091711,328232251,38,62
404782,"Altered Perception",2018-05-04,878,1.357,6.5,3,892,"Altered Perception",1259,1259,0,100,0
406563,"Insidious: The Last Key",2018-01-05,27,20.724,6.1,1468,46,"Insidious: The Last Key",167885588,67745330,100140258,40.4,59.6
406761,"Hotel Artemis",2018-06-08,28,16.332,5.9,653,192,"Hotel Artemis",13313581,6708147,6605434,50.4,49.6
406997,Wonder,2017-11-17,18,15.712,8.2,4386,511,"Wonders of the Sea",279415,100780,178635,36.1,63.9
406997,Wonder,2017-11-17,18,15.712,8.2,4386,772,"Did You Wonder Who Fired the Gun?",20765,20765,0,100,0
407451,"A Wrinkle in Time",2018-03-09,12,12.243,5,1179,52,"A Wrinkle in Time",132675864,100478608,32197256,75.7,24.3
407719,"Golden Exits",2018-02-09,18,3.613,6.3,26,709,"Golden Exits",41888,41888,0,100,0
407890,"Lean on Pete",2018-04-06,12,8.96,6.9,153,309,"Lean on Pete",2443584,1163056,1280528,47.6,52.4
408873,Kings,2018-04-27,80,6.738,6.1,72,74,"Detective Dee: The Four Heavenly Kings",90040771,262963,89777808,0.3,99.7
408873,Kings,2018-04-27,80,6.738,6.1,72,393,Kings,910269,274635,635634,30.2,69.8
412302,Gemini,2018-03-30,80,6.03,5.6,72,548,Gemini,200340,200340,0,100,0
412988,"The Happytime Murders",2018-08-24,28,12.145,5.6,507,140,"The Happytime Murders",27506452,20706452,6800000,75.3,24.7
414001,"The Mercy",2018-11-30,12,9.82,5.9,133,497,"The Mercy 2018 Re-release",306205,29538,276667,9.6,90.4
414018,Damsel,2018-06-22,35,5.163,5,35,492,Damsel,323235,305136,18099,94.4,5.6
414454,Submission,2018-03-02,18,3.52,6.5,13,713,Submission,39985,39985,0,100,0
415401,"The Party",2018-02-16,35,10.672,6.4,247,94,"Life of the Party",65859911,53059911,12800000,80.6,19.4
415401,"The Party",2018-02-16,35,10.672,6.4,247,868,"The Party's Just Beginning",4371,4145,226,94.8,5.2
416194,"The Quake",2018-12-14,28,14.835,6.5,144,190,"The Quake",13747547,6235,13741312,0,100
416234,Winchester,2018-02-02,14,13.173,5.8,980,112,Winchester,44019588,25091816,18927772,57,43
416494,"Status Update",2018-02-09,35,7.179,6.8,152,460,"Status Update",416178,4764,411414,1.1,98.9
417261,"Forever My Girl",2018-01-26,18,13.503,7.4,492,177,"Forever My Girl",16376066,16376066,0,100,0
417643,"In Darkness",2018-05-25,53,12.6,6.1,258,236,"God's Not Dead: A Light in Darkness",7414178,5728940,1685238,77.3,22.7
417812,Wildlife,2018-10-19,18,13.701,6.8,228,291,Wildlife,3231638,1050616,2181022,32.5,67.5
419478,"Midnight Sun",2018-03-23,18,14.206,7.7,1864,141,"Midnight Sun",27365467,9561064,17804403,34.9,65.1
